Business_ID,Name,Address,Coordinates,Num_of_Reviews,Rating,Zip_Code,Cuisine
1ExwosnCMtb7D3SF5ovo6w,The Pomeroy,36-12 Ditmars Blvd,"{'latitude': 40.7739, 'longitude': -73.908}",267,4.5,11105,american
73GUDh4_LfiGk71M0McQEA,232 Bleecker,232 Bleecker St,"{'latitude': 40.730195, 'longitude': -74.002577}",46,4.5,10014,american
JI_teX5hC2rvHRbAo9JRTw,Quality Eats,19 Greenwich Ave,"{'latitude': 40.7345, 'longitude': -74.00004}",434,4,10014,american
rrsjcQVLg2PkIkO_vPjOLw,The Bonnie,29-12 23rd Ave,"{'latitude': 40.7746737, 'longitude': -73.9136003}",649,4,11105,american
Felr31BySdIEOFl-U6AAUg,Clinton St. Baking Company,55 Water St,"{'latitude': 40.703717, 'longitude': -73.991773}",30,3.5,11201,american
yk8j4W34Cy4K6uy9Btkf9Q,Paul's Da Burger Joint,131 2nd Ave,"{'latitude': 40.728539, 'longitude': -73.988017}",982,4,10003,american
xiEBdZ8z5KY21Vw2pY2fJQ,Two 8 Two Bar & Burger,282 Atlantic Ave,"{'latitude': 40.688536, 'longitude': -73.989728}",664,4,11201,american
YkJkMOSXDprv6gsQ5Grc6A,Diller,357 Grand St,"{'latitude': 40.716465, 'longitude': -73.989078}",73,5,10002,american
HdYmIA2jRBbKnU1mGJ9a3Q,The Quarter Brooklyn,87 Lafayette Ave,"{'latitude': 40.6874192552749, 'longitude': -73.9748689904809}",187,4,11217,american
f7g3GhoQs9nQVTJEL2p48Q,Gran Electrica,5 Front St,"{'latitude': 40.7027, 'longitude': -73.99314}",485,3.5,11201,american
fEig4z0y_qCMRLvW7HRuqA,Harding's,32 E 21st St,"{'latitude': 40.7393229, 'longitude': -73.9887163}",360,4,10010,american
9phYK1esfjNkdd5UPIt9_w,Fulton Burger,17 Old Fulton St,"{'latitude': 40.702801, 'longitude': -73.993492}",4,4,10038,american
BnSeJ9yRfJ09RoQ0euR34A,Trufa Restaurant,3431 Broadway,"{'latitude': 40.82315, 'longitude': -73.95318}",314,4,10031,american
0BzxIsoRuFvxbMPl-iH70A,Market Table,54 Carmine St,"{'latitude': 40.7297659255873, 'longitude': -74.0037665277862}",790,4,10014,american
A4sRFxP2ZU8FcjYWvMYKLg,Oola's Kitchen,177 Orchard St,"{'latitude': 40.7218344559, 'longitude': -73.9884408893}",24,5,10002,american
1raNn0l3I4H9PcAJce69Sw,Sojourn,244 E 79th St,"{'latitude': 40.77343, 'longitude': -73.95568}",654,4,10075,american
xefmiLAsKURFc6FDGSRgfQ,Westville - Wall St,110 Wall St,"{'latitude': 40.70478, 'longitude': -74.00652}",195,4,10005,american
J5y7oRfiGtxFDkYGKxFZkw,Anella,222 Franklin St,"{'latitude': 40.73327, 'longitude': -73.95786}",420,4,11222,american
4MqJOLaeqCgBFQmMFPfe3g,Clover Club,210 Smith St,"{'latitude': 40.6846046447754, 'longitude': -73.9921875}",778,4,11201,american
